detector,filter,sample_size,true_positives,true_negatives,false_positives,false_negatives,precision,recall,f1
animal_type_elephant,non_blank,13536,277,10643,1696,920,0.1403953370501774,0.23141186299081035,0.17476340694006307
animal_type_elephant,one_animal,6172,130,4810,752,480,0.1473922902494331,0.21311475409836064,0.1742627345844504
animal_type_elephant,simple,4583,133,3497,613,340,0.17828418230563003,0.28118393234672306,0.2182116488925349
animal_type_elephant,complex,2781,14,2336,331,100,0.04057971014492753,0.12280701754385964,0.061002178649237467
animal_type_elephant,single_species,13045,275,10213,1642,915,0.14345331246739698,0.23109243697478993,0.17701963308657873
animal_type_elephant,only_buffalo,1169,0,963,206,0,0.0,NaN,NaN
animal_type_elephant,only_elephant,1190,275,0,0,915,1.0,0.23109243697478993,0.37542662116040953
animal_type_elephant,only_ostrich,356,0,335,21,0,0.0,NaN,NaN
animal_type_elephant,only_warthog,1090,0,957,133,0,0.0,NaN,NaN
animal_type_elephant,only_wildebeest,3057,0,2603,454,0,0.0,NaN,NaN
animal_type_elephant,only_other,6183,0,5355,828,0,0.0,NaN,NaN
animal_type_elephant,multi_species,491,2,430,54,5,0.03571428571428571,0.2857142857142857,0.06349206349206349
animal_type_elephant,multi_including_buffalo,18,0,15,3,0,0.0,NaN,NaN
animal_type_elephant,multi_including_elephant,7,2,0,0,5,1.0,0.2857142857142857,0.4444444444444445
animal_type_elephant,multi_including_ostrich,1,0,1,0,0,NaN,NaN,NaN
animal_type_elephant,multi_including_warthog,25,0,23,2,0,0.0,NaN,NaN
animal_type_elephant,multi_including_wildebeest,323,0,281,42,0,0.0,NaN,NaN
animal_type_elephant,multi_including_none_of_the_five,124,0,117,7,0,0.0,NaN,NaN
animal_type_ostrich,entire_dataset,50270,219,29181,20732,138,0.010452961672473868,0.6134453781512605,0.020555659846067206
animal_type_ostrich,daytime,368,2,192,174,0,0.011363636363636364,1.0,0.02247191011235955
animal_type_ostrich,nighttime,183,0,137,46,0,0.0,NaN,NaN
animal_type_ostrich,blank,36734,0,22985,13749,0,0.0,NaN,NaN
animal_type_ostrich,non_blank,13536,219,6196,6983,138,0.03040821993890586,0.6134453781512605,0.05794417250959122
animal_type_ostrich,one_animal,6172,176,2991,2894,111,0.05732899022801303,0.6132404181184669,0.10485552576705391
animal_type_ostrich,simple,4583,41,2033,2483,26,0.01624405705229794,0.6119402985074627,0.031648012350443844
animal_type_ostrich,complex,2781,2,1172,1606,1,0.0012437810945273632,0.6666666666666666,0.002482929857231533
animal_type_ostrich,single_species,13045,219,6018,6671,137,0.031785195936139335,0.6151685393258427,0.06044714325144907
animal_type_ostrich,only_buffalo,1169,0,631,538,0,0.0,NaN,NaN
animal_type_ostrich,only_elephant,1190,0,720,470,0,0.0,NaN,NaN
animal_type_ostrich,only_ostrich,356,219,0,0,137,1.0,0.6151685393258427,0.7617391304347826
animal_type_ostrich,only_warthog,1090,0,714,376,0,0.0,NaN,NaN
animal_type_ostrich,only_wildebeest,3057,0,1353,1704,0,0.0,NaN,NaN
animal_type_ostrich,only_other,6183,0,2600,3583,0,0.0,NaN,NaN
animal_type_ostrich,multi_species,491,0,178,312,1,0.0,0.0,NaN
animal_type_ostrich,multi_including_buffalo,18,0,8,10,0,0.0,NaN,NaN
animal_type_ostrich,multi_including_elephant,7,0,1,6,0,0.0,NaN,NaN
animal_type_ostrich,multi_including_ostrich,1,0,0,0,1,NaN,0.0,NaN
animal_type_ostrich,multi_including_warthog,25,0,10,15,0,0.0,NaN,NaN
animal_type_ostrich,multi_including_wildebeest,323,0,116,207,0,0.0,NaN,NaN
animal_type_ostrich,multi_including_none_of_the_five,124,0,43,81,0,0.0,NaN,NaN
animal_type_warthog,entire_dataset,50270,432,35643,13512,683,0.03098106712564544,0.3874439461883408,0.05737432764459792
animal_type_warthog,daytime,368,3,250,109,6,0.026785714285714284,0.3333333333333333,0.04958677685950413
animal_type_warthog,nighttime,183,0,122,61,0,0.0,NaN,NaN
animal_type_warthog,blank,36734,0,27977,8757,0,0.0,NaN,NaN
animal_type_warthog,non_blank,13536,432,7666,4755,683,0.08328513591671487,0.3874439461883408,0.13709933354490636
animal_type_warthog,one_animal,6172,344,3451,1885,492,0.15432929564827277,0.41148325358851673,0.22446982055464929
animal_type_warthog,simple,4583,79,2496,1830,178,0.04138292299633316,0.30739299610894943,0.0729455216989843
